,Year,Sex,Fatal Y/N,Country,Type
0,2026,f,n,USA,UNPROVOKED
1,2026,m,n,USA,UNPROVOKED
2,2026,m,n,REUNION ISLAND,PROVOKED
3,2026,m,n,IRELAND,PROVOKED
4,2026,m,n,USA,UNPROVOKED
5,2026,m,n,USA,UNPROVOKED
6,2026,m,n,USA,UNPROVOKED
7,2026,m,n,BAHAMAS,UNPROVOKED
8,2026,m,n,FIJI,UNPROVOKED
9,2026,m,n,AUSTRALIA,UNPROVOKED
10,2026,m,n,AUSTRALIA,UNPROVOKED
11,2026,m,n,USA,UNPROVOKED
12,2026,m,n,USA,PROVOKED
13,2026,m,n,BAHAMAS,UNPROVOKED
14,2026,f,n,USA,UNPROVOKED
15,2026,f,n,AUSTRALIA,UNPROVOKED
16,2026,f,n,GALAPOGOS ISLANDS,UNPROVOKED
17,2026,m,n,USA,UNPROVOKED
18,2026,m,y,AUSTRALIA,UNPROVOKED
19,2026,m,n,USA,PROVOKED
20,2026,f,n,BRAZIL,UNPROVOKED
21,2026,m,n,BRAZIL,UNPROVOKED
22,2026,m,n,AUSTRALIA,UNPROVOKED
23,2026,m,n,USA,UNPROVOKED
24,2026,m,n,USA,PROVOKED
25,2026,m,y,AUSTRALIA,UNPROVOKED
27,2026,m,n,USA,QUESTIONABLE
28,2026,m,y,AUSTRALIA,UNPROVOKED
29,2026,m,n,MALDIVES,UNPROVOKED
30,2026,m,n,AUSTRALIA,UNPROVOKED
31,2026,f,n,BAHAMAS,UNPROVOKED
32,2026,m,n,AUSTRALIA,UNPROVOKED
33,2026,m,n,AUSTRALIA,UNPROVOKED
34,2026,m,n,USA,UNPROVOKED
35,2026,f,n,AUSTRALIA,UNPROVOKED
36,2026,m,n,AUSTRALIA,UNPROVOKED
37,2026,m,n,AUSTRALIA,UNPROVOKED
38,2026,m,y,NEW CALEDONIA,UNPROVOKED
39,2026,m,n,CAYMAN ISLANDS,UNPROVOKED
40,2026,m,y,BRAZIL,UNPROVOKED
41,2026,m,n,AUSTRALIA,UNPROVOKED
42,2026,f,n,AUSTRALIA,UNPROVOKED
43,2026,m,n,AUSTRALIA,UNPROVOKED
44,2026,m,n,AUSTRALIA,UNPROVOKED
45,2026,m,n,AUSTRALIA,UNPROVOKED
46,2026,m,y,AUSTRALIA,UNPROVOKED
47,2026,m,n,USA,UNPROVOKED
48,2026,m,n,AUSTRALIA,UNPROVOKED
49,2026,f,y,US VIRGIN ISLANDS,UNPROVOKED
50,2026,m,y,MOZAMBIQUE,UNPROVOKED
51,2026,m,n,NEW CALEDONIA,PROVOKED
53,2025,m,n,AUSTRALIA,UNPROVOKED
54,2025,f,y,USA,UNPROVOKED
55,2025,m,n,USA,UNPROVOKED
56,2025,m,n,USA,PROVOKED
57,2025,m,n,AUSTRALIA,UNPROVOKED
58,2025,f,y,AUSTRALIA,UNPROVOKED
59,2025,m,n,AUSTRALIA,UNPROVOKED
60,2025,m,n,FRENCH POLYNESIA,UNPROVOKED
61,2025,m,n,USA,UNPROVOKED
62,2025,m,n,USA,UNPROVOKED
63,2025,m,n,SAMOA,UNPROVOKED
64,2025,m,n,COLUMBIA,UNPROVOKED
65,2025,m,n,AUSTRALIA,UNPROVOKED
66,2025,m,n,AUSTRALIA,UNPROVOKED
67,2025,m,n,USA,UNPROVOKED
68,2025,m,n,COSTA RICA,PROVOKED
69,2025,m,y,AUSTRALIA,UNPROVOKED
70,2025,m,n,USA,UNPROVOKED
71,2025,f,n,USA,UNPROVOKED
72,2025,m,n,AUSTRALIA,UNPROVOKED
73,2025,m,n,BAHAMAS,UNPROVOKED
74,2025,m,n,USA,PROVOKED
75,2025,m,n,AUSTRALIA,UNPROVOKED
